Supplier_ID,Business_Name,Owner_Name,Country,City,Address,Phone,Email,Website,Category,Main_Products,Business_Type,Year_Established,Employees,Annual_Export_Volume_USD,Min_Order_Quantity,Export_Markets,Certifications,Rating,Payment_Terms,Lead_Time_Days
SUP000016,Sunrise Stone Works N.V.,Lisanne Bakker,Netherlands,Rotterdam,"300 Business Park, Rotterdam, Netherlands",+31-7109-47775,contact@sunrisestoneworksnv.nl,www.sunrisestoneworksnv.nl,Construction Materials,"Steel Bars, Sanitaryware, Ceramic Tiles, Granite Stones",Manufacturer,2000,36,256446,971 boxes,"Middle East, North America",OEKO-TEX,4.5,Net 30 Days,71
SUP000017,Colin Toys S.A.,Bertrand-Isaac Chauvin,Morocco,Rabat,"419 Market Road, Rabat, Morocco",+212-9740-34471,chauvin807@outlook.com,www.colintoyssa.com,Toys & Games,"Remote Control Cars, Educational Toys, Action Figures, Puzzle Sets, Soft Toys",Wholesaler,1989,88,3783723,3598 units,"South America, Western Europe, Eastern Europe, Oceania","ISO 14001, ISO 22000, ISO 9001",3.9,Net 60 Days,56
SUP000018,Lisbon Packaging Co S.A.,Frederico Andrade-Pinto,Portugal,Porto,"842 Commercial Street, Porto, Portugal",+351-9027-87429,info@lisbonpackagingcosa.com,www.lisbonpackagingcosa.com,Paper & Packaging,"Notebooks, Tissue Paper, Cardboard Sheets, Corrugated Boxes, Printing Paper",Distributor,1996,2350,84942,3726 units,"Oceania, East Asia","ISO 9001, Halal Certified, SEDEX",3.6,Cash Against Documents (CAD),19
SUP000019,Dar es Salaam Paper Mills Co.,Monica Nash,Tanzania,Dar es Salaam,"902 Market Road, Dar es Salaam, Tanzania",+255-1093-24808,info@daressalaampapermill.tz,www.daressalaampapermill.com,Paper & Packaging,"Notebooks, Tissue Paper, Printing Paper, Cardboard Sheets, Paper Bags",Manufacturer,2016,933,975272,3742 boxes,"Eastern Europe, Middle East","ISO 22000, FSSAI, Fair Trade Certified",3.3,Net 30 Days,81
SUP000020,Evans Handicrafts Trading Co,Dawn Cline,Qatar,Doha,"891 Main Road, Doha, Qatar",+974-3963-6057,dawn396@outlook.com,www.evanshandicraftstrad.com,Handicrafts & Home Decor,"Wicker Baskets, Wall Hangings, Handwoven Carpets, Ceramic Pottery",Manufacturer,1983,4580,651500,3359 sets,"South Asia, North Africa, Oceania, Southeast Asia","GMP Certified, Fair Trade Certified, HACCP",4.9,"30% Advance, 70% on Delivery",65
SUP000021,Industrial Equipment Enterprises S.A.,Drosia Sdoukou,Greece,Thessaloniki,"649 Export Zone, Thessaloniki, Greece",+30-72400-50455,contact@industrialequipmente.gr,www.industrialequipmente.com,Machinery & Industrial Equipment,"CNC Machines, Conveyor Belts, Hydraulic Presses, Industrial Pumps, Air Compressors",Trading Company,1985,4566,41163806,2081 tons,"CIS Countries, South America","ISO 14001, Halal Certified",3.5,100% Advance,64
SUP000022,Berg Alloys AS,Odd Haugen,Norway,Oslo,"391 Trade Center, Oslo, Norway",+47-9440-6409,odd997@gmail.com,www.bergalloysas.com,Metals & Minerals,"Steel Sheets, Brass Fittings, Iron Ore, Stainless Steel Pipes, Copper Wires",Sole Proprietor Exporter,2006,821,4189886,1121 sets,"Sub-Saharan Africa, South Asia",CE Certified,3.2,100% Advance,44
SUP000023,Golden Agro S.A.,Sarah Freitas,Brazil,Belo Horizonte,"264 Market Road, Belo Horizonte, Brazil",+55-45171-236851,sarah@gmail.com,www.goldenagrosa.com,Agriculture & Food Products,"Honey, Dried Fruits, Frozen Vegetables, Coffee Beans",Sole Proprietor Exporter,2022,798,34201,4600 kg,"Southeast Asia, North Africa","OEKO-TEX, FSSAI, ISO 22000",4.8,Net 30 Days,87
SUP000024,Toys Overseas Corp,Natalie Gutierrez,Philippines,Davao City,"380 Free Zone, Davao City, Philippines",+63-92617-96405,sales@toysoverseascorp.ph,www.toysoverseascorp.com,Toys & Games,"Educational Toys, Board Games, Soft Toys",Manufacturer,2018,28,26396000,751 sets,"South America, Eastern Europe","ISO 22000, GMP Certified, Fair Trade Certified",3.4,100% Advance,11
SUP000025,Pioneer Motors LLC,Sviatoslav Chornovil,Ukraine,Kyiv,"113 Industrial Area, Kyiv, Ukraine",+380-2053-95024,enquiry@pioneermotorsllc.com,www.pioneermotorsllc.ua,Automotive Parts,"Suspension Parts, Headlights, Engine Components",Manufacturer,2005,33,79245,4272 kg,"North America, Middle East, Western Europe, East Asia","FSSAI, Halal Certified, ISO 22000",3.9,100% Advance,12
SUP000026,Cosmetics International S.A.,Blas Rossello Bayona,Ecuador,Guayaquil,"612 Commercial Street, Guayaquil, Ecuador",+593-7896-11836,export@cosmeticsinternation.ec,www.cosmeticsinternation.com,Cosmetics & Personal Care,"Perfumes, Essential Oils, Skincare Products, Cosmetic Kits",Distributor,2001,637,69060,700 units,"East Asia, Oceania, CIS Countries","WRAP Certified, HACCP, GMP Certified",3.9,Cash Against Documents (CAD),21
SUP000027,Penang Ocean Foods Trading,Jose Wallace,Malaysia,Johor Bahru,"520 Main Road, Johor Bahru, Malaysia",+60-2731-58514,jose866@gmail.com,www.penangoceanfoodstrad.com,Seafood & Marine Products,"Fish Meal, Lobster, Dried Fish, Frozen Shrimp",Sole Proprietor Exporter,2019,384,468075,4640 sets,"East Asia, Middle East, North Africa",BRC Certified,3.8,Letter of Credit (L/C),86
SUP000028,Crafts Overseas Exports,Joseph Callahan,Bangladesh,Chittagong,"84 Commercial Street, Chittagong, Bangladesh",+880-76797-64381,enquiry@craftsoverseasexport.bd,www.craftsoverseasexport.com,Handicrafts & Home Decor,"Wicker Baskets, Decorative Mirrors, Brass Statues, Wooden Furniture",Sole Proprietor Exporter,1994,7,314354,2094 kg,"Western Europe, East Asia",SEDEX,3.7,100% Advance,68
SUP000029,Royal Tanners Group,Dr. Alfonso Soto,Mexico,Mexico City,"727 Free Zone, Mexico City, Mexico",+52-41605-29751,contact@royaltannersgroup.mx,www.royaltannersgroup.com,Leather Goods,"Leather Bags, Leather Shoes, Leather Upholstery, Travel Bags",Wholesaler,1980,129,63655,4347 boxes,"North Africa, East Asia","BRC Certified, GMP Certified",3.4,Cash Against Documents (CAD),49
SUP000030,Crown Motors LLC,Toni Goodwin,Kuwait,Kuwait City,"659 Trade Center, Kuwait City, Kuwait",+965-5271-7744,toni.goodwin@gmail.com,www.crownmotorsllc.kw,Automotive Parts,"Engine Components, Filters, Suspension Parts",Distributor,1977,8,97867,3685 boxes,"South Asia, East Asia, Oceania","SEDEX, BRC Certified",4.3,Cash Against Documents (CAD),82
SUP000031,Arequipa Packaging Co S.A.C.,Carmina Prat Sarmiento,Peru,Lima,"940 Commercial Street, Lima, Peru",+51-6659-05151,carmina.sarmiento@yahoo.com,www.arequipapackagingcos.com,Paper & Packaging,"Corrugated Boxes, Tissue Paper, Paper Bags, Cardboard Sheets, Notebooks",Sole Proprietor Exporter,2013,135,65851,2537 boxes,"South Asia, CIS Countries, Southeast Asia, East Asia","ISO 22000, HACCP, Organic Certified",3.8,Cash Against Documents (CAD),21
SUP000032,Garcia Athletics Exports,Courtney Gonzalez,Sri Lanka,Galle,"303 Export Zone, Galle, Sri Lanka",+94-8880-59296,enquiry@garciaathleticsexpor.lk,www.garciaathleticsexpor.com,Sports Goods,"Footballs, Gym Equipment, Sportswear",Trading Company,2021,61,740256,4375 pieces,"Eastern Europe, Western Europe",ISO 14001,3.6,Open Account,29
SUP000033,Ocean Foods Overseas Group,Alexandra Whitney,Kenya,Mombasa,"729 Export Zone, Mombasa, Kenya",+254-4124-78261,alexandra@hotmail.com,www.oceanfoodsoverseasgr.com,Seafood & Marine Products,"Fish Meal, Squid, Fish Fillets",Manufacturer,2001,151,70615,2611 units,"North America, Oceania, South Asia","OEKO-TEX, ISO 14001",4.7,Cash Against Documents (CAD),23
SUP000034,Harvest International Trading Co,Robin Owens,Qatar,Doha,"296 Main Road, Doha, Qatar",+974-4103-6971,enquiry@harvestinternational.com,www.harvestinternational.com,Agriculture & Food Products,"Basmati Rice, Tea Leaves, Coffee Beans",Sole Proprietor Exporter,2007,935,42287986,1535 sets,"Southeast Asia, East Asia","GMP Certified, ISO 14001, Halal Certified",4.3,Cash Against Documents (CAD),13
SUP000035,Dougherty Naturals Pvt Ltd,Kristi Swanson,Pakistan,Sialkot,"361 Trade Center, Sialkot, Pakistan",+92-27722-17043,info@doughertynaturalspvt.pk,www.doughertynaturalspvt.pk,Cosmetics & Personal Care,"Skincare Products, Herbal Soaps, Beauty Tools, Cosmetic Kits, Perfumes",Manufacturer & Exporter,2007,30,6989033,2239 units,"Oceania, CIS Countries, South America, North Africa",ISO 9001,4.6,Telegraphic Transfer (T/T),56
SUP000036,Naturals Worldwide Ltda.,Dr. Joao Miguel Pires,Brazil,Rio de Janeiro,"82 Trade Center, Rio de Janeiro, Brazil",+55-44796-275705,dr.pires@gmail.com,www.naturalsworldwideltd.com.br,Cosmetics & Personal Care,"Cosmetic Kits, Haircare Products, Skincare Products",Sole Proprietor Exporter,2000,181,249716,551 pieces,"East Asia, Western Europe, Southeast Asia","HACCP, ISO 14001",4.6,Cash Against Documents (CAD),51
SUP000037,Hamilton Fisheries Ltd,Robert Key Jr.,Ghana,Accra,"27 Business Park, Accra, Ghana",+233-7868-14473,robert@hotmail.com,www.hamiltonfisheriesltd.gh,Seafood & Marine Products,"Fish Meal, Frozen Shrimp, Squid, Fish Fillets",Trading Company,1979,33,6828830,2458 pieces,"North Africa, Sub-Saharan Africa, CIS Countries, Middle East",ISO 14001,4.4,Letter of Credit (L/C),51
SUP000038,Electronics Worldwide N.V.,Giovanni van Duivenvoorde,Belgium,Brussels,"408 Market Road, Brussels, Belgium",+32-8669-12517,sales@electronicsworldwide.com,www.electronicsworldwide.com,Electronics & Electrical,"Batteries, Smart Switches, Surveillance Cameras, Inverters, Power Cables",Wholesaler,2015,96,627291,2492 pieces,"East Asia, South America",FSSAI,3.3,Net 30 Days,49
SUP000039,Crown Crafts AS,Linda Fredriksen-Moen,Norway,Bergen,"863 Industrial Area, Bergen, Norway",+47-0109-4396,linda@yahoo.com,www.crowncraftsas.com,Handicrafts & Home Decor,"Brass Statues, Bamboo Crafts, Handwoven Carpets, Wicker Baskets, Candle Holders",Manufacturer & Exporter,2005,20,65783807,3805 pieces,"Western Europe, Oceania","WRAP Certified, BRC Certified, HACCP",3.7,Letter of Credit (L/C),45
SUP000040,Graz PolyPack GmbH,Univ.Prof. Carla Wegscheider,Austria,Graz,"969 Free Zone, Graz, Austria",+43-96325-95327,univprof.wegscheider@yahoo.com,www.grazpolypackgmbh.com,Plastics & Packaging,"Plastic Crates, Plastic Containers, PET Bottles",Manufacturer,2000,446,76423576,2341 boxes,"Eastern Europe, Western Europe, South America",FSSAI,3.0,"30% Advance, 70% on Delivery",60
SUP000041,Doha ChemWorks Trading Co,Nicole Bentley,Qatar,Doha,"287 Export Zone, Doha, Qatar",+974-2165-5852,enquiry@dohachemworkstrading.com,www.dohachemworkstrading.qa,Chemicals & Petrochemicals,"Plastic Resins, Fertilizers, Solvents",Manufacturer,1983,171,3345136,1332 tons,"South America, Sub-Saharan Africa, Southeast Asia","Halal Certified, OEKO-TEX",5.0,Net 60 Days,80
SUP000042,Saint Petersburg Packaging Co OJSC,Agata Borisovna Avdeeva,Russia,Saint Petersburg,"802 Main Road, Saint Petersburg, Russia",+7-09728-96230,agata196@gmail.com,www.saintpetersburgpacka.com,Paper & Packaging,"Cardboard Sheets, Corrugated Boxes, Printing Paper, Notebooks",Distributor,1984,3055,840059,4595 kg,"CIS Countries, Oceania, North America","Fair Trade Certified, FSSAI, SEDEX",5.0,Open Account,72
SUP000043,Le Goff Industrial Equipment S.A.,Anastasie Blin de la Mercier,Morocco,Casablanca,"501 Trade Center, Casablanca, Morocco",+212-7584-41986,anastasie.mercier@yahoo.com,www.legoffindustrialequi.com,Machinery & Industrial Equipment,"Hydraulic Presses, Industrial Pumps, Generators, Air Compressors, Conveyor Belts",Trading Company,1993,931,787837,1656 boxes,"Middle East, CIS Countries","CE Certified, WRAP Certified, Organic Certified",3.5,Net 60 Days,22
SUP000044,Dubai Bottling Works FZE,John Briggs,UAE,Sharjah,"988 Business Park, Sharjah, UAE",+971-6773-45401,john@gmail.com,www.dubaibottlingworksfz.com,Beverages,"Bottled Water, Herbal Teas, Coffee Concentrates, Fruit Juices, Soft Drinks",Trading Company,2001,4227,44420,2445 boxes,"North Africa, South Asia, South America","Halal Certified, ISO 22000, ISO 9001",4.2,Cash Against Documents (CAD),41
SUP000045,Iglesia Minerals S.A.,Salomon Gutierrez Jimenez,Chile,Valparaiso,"776 Main Road, Valparaiso, Chile",+56-2966-85161,export@iglesiamineralssa.cl,www.iglesiamineralssa.com,Metals & Minerals,"Iron Ore, Copper Wires, Steel Sheets",Manufacturer,1991,657,1191860,1936 units,"Middle East, Western Europe, North America, North Africa","BRC Certified, SEDEX",4.3,Open Account,44
SUP000046,Liu Beauty Co Co. Ltd,Zhao Jian Hua,Hong Kong,Hong Kong,"935 Market Road, Hong Kong, Hong Kong",+852-8339-1878,zhao@gmail.com,www.liubeautycocoltd.hk,Cosmetics & Personal Care,"Essential Oils, Haircare Products, Beauty Tools",Wholesaler,2007,196,63007,1683 sets,"CIS Countries, East Asia, North Africa","WRAP Certified, OEKO-TEX",4.2,"30% Advance, 70% on Delivery",70
SUP000047,Grains International S.A.,Sr(a). Valentina Sosa,Argentina,Cordoba,"434 Trade Center, Cordoba, Argentina",+54-18017-04622,valentina662@hotmail.com,www.grainsinternationals.com.ar,Agriculture & Food Products,"Wheat Flour, Pulses & Lentils, Tea Leaves, Basmati Rice, Dried Fruits",Distributor,2003,146,82109614,4333 pieces,"North America, Eastern Europe, East Asia",ISO 9001,4.5,Net 30 Days,5
SUP000048,Life Sciences Overseas Exports,Catherine Murray,Pakistan,Sialkot,"959 Industrial Area, Sialkot, Pakistan",+92-33119-07903,catherine.murray@outlook.com,www.lifesciencesoverseas.com,Pharmaceuticals & Healthcare,"Nutritional Supplements, Medical Devices, Ayurvedic Products",Manufacturer,1983,439,6379868,1174 sets,"Eastern Europe, South America, North America","GMP Certified, BRC Certified, Halal Certified",4.0,Telegraphic Transfer (T/T),43
SUP000049,Gothenburg Farms Group,Ronja Brandt,Sweden,Stockholm,"551 Market Road, Stockholm, Sweden",+46-3342-70866,ronja@outlook.com,www.gothenburgfarmsgroup.se,Agriculture & Food Products,"Pulses & Lentils, Dried Fruits, Sugar, Cashew Nuts, Honey",Manufacturer & Exporter,2016,165,26755,597 pieces,"Western Europe, Middle East, Sub-Saharan Africa",Halal Certified,4.6,Net 30 Days,66
SUP000050,Apex Machinery S.A.,Hernando Cadenas Clemente,Spain,Barcelona,"547 Trade Center, Barcelona, Spain",+34-4458-77175,hernando.clemente@hotmail.com,www.apexmachinerysa.es,Machinery & Industrial Equipment,"Packaging Machines, Welding Equipment, Conveyor Belts, Industrial Pumps",Trading Company,2022,3266,259815,3112 boxes,"Eastern Europe, Southeast Asia, North Africa","GMP Certified, Fair Trade Certified",4.7,Open Account,75
SUP000051,Star Industries OJSC,Kosheleva Galina Petrovna,Russia,Saint Petersburg,"423 Business Park, Saint Petersburg, Russia",+7-31203-87509,kosheleva935@hotmail.com,www.starindustriesojsc.com,Chemicals & Petrochemicals,"Pesticides, Textile Dyes, Solvents",Manufacturer,1975,39,5609385,141 boxes,"North America, Southeast Asia, CIS Countries, South America","ISO 9001, Halal Certified, RoHS Compliant",4.6,Telegraphic Transfer (T/T),27
SUP000052,Unity PowerTech FZE,Melissa Booker,UAE,Sharjah,"232 Commercial Street, Sharjah, UAE",+971-1016-66870,melissa85@hotmail.com,www.unitypowertechfze.com,Electronics & Electrical,"Smart Switches, Power Cables, Inverters, LED Lights",Sole Proprietor Exporter,1996,41,50115,610 sets,"Sub-Saharan Africa, South Asia, East Asia",WRAP Certified,4.9,100% Advance,27
SUP000053,Graz Apparel GmbH,Mike Pinter,Austria,Vienna,"144 Export Zone, Vienna, Austria",+43-85016-31599,mike.pinter@yahoo.com,www.grazapparelgmbh.at,Textiles & Apparel,"Baby Clothing, Woolen Sweaters, Curtains & Drapes",Manufacturer & Exporter,2003,3265,7376563,2019 sets,"Oceania, Southeast Asia, North Africa","Halal Certified, WRAP Certified",3.1,Net 60 Days,24
SUP000054,Rabat Jewels S.A.,Patrick Julien-Cohen,Morocco,Rabat,"460 Free Zone, Rabat, Morocco",+212-1015-81995,patrick@hotmail.com,www.rabatjewelssa.ma,Jewelry & Gemstones,"Pearl Necklaces, Fashion Jewelry, Precious Stones",Manufacturer,2021,112,3329350,2199 tons,"South America, Western Europe, CIS Countries",GMP Certified,3.3,Letter of Credit (L/C),60
SUP000055,Lindberg Athletics Group,Andre Skold-Storm,Sweden,Gothenburg,"7 Free Zone, Gothenburg, Sweden",+46-5965-75692,sales@lindbergathleticsgro.com,www.lindbergathleticsgro.com,Sports Goods,"Boxing Gloves, Yoga Mats, Sportswear",Trading Company,2000,3846,53739711,2297 tons,"East Asia, Eastern Europe, South Asia, South America",FSSAI,3.7,Net 30 Days,80
SUP000056,Horizon MetalWorks & Co. KG,Luisa Jantsch,Germany,Berlin,"733 Free Zone, Berlin, Germany",+49-61797-96886,export@horizonmetalworkscok.com,www.horizonmetalworkscok.com,Metals & Minerals,"Stainless Steel Pipes, Brass Fittings, Aluminum Ingots, Steel Sheets",Wholesaler,2013,71,85594148,2717 tons,"South Asia, Western Europe, Middle East, Eastern Europe","SEDEX, ISO 22000",3.2,"30% Advance, 70% on Delivery",38
SUP000057,de Pauw Packaging Co N.V.,Elizabeth Aalts,Belgium,Ghent,"119 Business Park, Ghent, Belgium",+32-5457-38757,contact@depauwpackagingconv.com,www.depauwpackagingconv.be,Paper & Packaging,"Cardboard Sheets, Tissue Paper, Paper Bags, Printing Paper",Manufacturer & Exporter,1977,12,876460,4522 pieces,"South Asia, South America","GMP Certified, ISO 14001",3.7,Telegraphic Transfer (T/T),64
SUP000058,Personal Care International Sp. z o.o.,Jakub Madziar,Poland,Wroclaw,"771 Export Zone, Wroclaw, Poland",+48-9182-55371,enquiry@personalcareinternat.com,www.personalcareinternat.com,Cosmetics & Personal Care,"Perfumes, Essential Oils, Haircare Products, Beauty Tools, Cosmetic Kits",Manufacturer & Exporter,2013,801,986590,2437 boxes,"CIS Countries, Eastern Europe",FSSAI,4.2,Letter of Credit (L/C),45
SUP000059,Manco Motors A.S.,Dilcan Ozyurt Durmus Sama,Turkey,Izmir,"569 Business Park, Izmir, Turkey",+90-74225-79050,contact@mancomotorsas.tr,www.mancomotorsas.com,Automotive Parts,"Headlights, Car Batteries, Alloy Wheels, Engine Components, Filters",Wholesaler,2016,3014,78176,1807 kg,"Western Europe, South Asia, Southeast Asia","RoHS Compliant, SEDEX, ISO 22000",3.1,Net 30 Days,73
SUP000060,Oslo Tanners Group,Ruth Pettersen,Norway,Bergen,"461 Commercial Street, Bergen, Norway",+47-5171-3395,ruth.pettersen@hotmail.com,www.oslotannersgroup.no,Leather Goods,"Leather Gloves, Jackets, Leather Bags, Leather Shoes, Wallets",Trading Company,1988,783,3824904,2371 boxes,"South America, Oceania, Eastern Europe","Organic Certified, ISO 9001",3.5,"30% Advance, 70% on Delivery",22
SUP000061,Apex Foods SARL,Henri Grondin,Tunisia,Tunis,"385 Market Road, Tunis, Tunisia",+216-1168-4577,info@apexfoodssarl.tn,www.apexfoodssarl.com,Agriculture & Food Products,"Coffee Beans, Pulses & Lentils, Dried Fruits, Wheat Flour",Distributor,2015,4259,4554278,2645 kg,"East Asia, Oceania","SEDEX, GMP Certified",3.7,Letter of Credit (L/C),77
SUP000062,Sydney MachineTech Pty Ltd,Eric Butler,Australia,Brisbane,"932 Business Park, Brisbane, Australia",+61-4241-54152,sales@sydneymachinetechpty.com,www.sydneymachinetechpty.com,Machinery & Industrial Equipment,"Industrial Pumps, Generators, Hydraulic Presses",Manufacturer,2020,11,79718628,77 units,"South Asia, North America, Sub-Saharan Africa",WRAP Certified,4.4,"30% Advance, 70% on Delivery",59
SUP000063,Haifa Construction Ltd,Mark Peck,Israel,Tel Aviv,"544 Industrial Area, Tel Aviv, Israel",+972-9275-32697,mark@gmail.com,www.haifaconstructionltd.il,Construction Materials,"Bricks, Steel Bars, Roofing Sheets",Manufacturer,2012,139,2413459,220 sets,"Sub-Saharan Africa, Western Europe","SEDEX, ISO 22000, ISO 14001",4.8,Net 30 Days,71
SUP000064,Elite Personal Care Group,Helene Marin,France,Marseille,"136 Free Zone, Marseille, France",+33-9658-27109,info@elitepersonalcaregro.fr,www.elitepersonalcaregro.com,Cosmetics & Personal Care,"Essential Oils, Haircare Products, Perfumes",Distributor,2007,2701,72727,2539 units,"Southeast Asia, North America","RoHS Compliant, HACCP",4.0,Net 30 Days,24
SUP000065,Sunrise Cosmetics Group,Kimberley Fowler,Ireland,Dublin,"725 Business Park, Dublin, Ireland",+353-0275-88425,export@sunrisecosmeticsgrou.com,www.sunrisecosmeticsgrou.com,Cosmetics & Personal Care,"Haircare Products, Skincare Products, Beauty Tools",Manufacturer,1976,26,76591800,4185 kg,"East Asia, North America, Middle East, Western Europe",ISO 9001,3.1,Letter of Credit (L/C),52
